sample_id,split,derivatized,features_path,features_md5_hash
S0000,train,,train_features/S0000.csv,52ec6d6f8372500ab4e069b5fbdae6f9
S0001,train,,train_features/S0001.csv,348f90baed8a8189bf0d4c7b9ed9f965
S0002,train,1,train_features/S0002.csv,4686ad9bc3716966f63b6ff83d1d8324
S0003,train,,train_features/S0003.csv,de6b53605c5887967dc3661a3a711c2b
S0004,train,,train_features/S0004.csv,fbfd90092d10d15a5d6919327ddde2ab
S0005,train,,train_features/S0005.csv,5a4387022d7c34104d550636b31be476
S0006,train,,train_features/S0006.csv,56914e500f8664a437bdbd95c7ee4ea4
S0007,train,1,train_features/S0007.csv,5baaec419c2e431e25c2a1f4ae66a182
S0008,train,1,train_features/S0008.csv,69081bfff6eb58278f4da9143a4f2c89
S0009,train,1,train_features/S0009.csv,c2722bcf9bd810de2bb318db678d3024
S0010,train,,train_features/S0010.csv,0ac896d9baf3c592ed71ae80cbe431fd
S0011,train,,train_features/S0011.csv,b078b6e6c7e4cce5b5f3d7ea54080666
S0012,train,,train_features/S0012.csv,d326b1bf63c1a2a7761f19fc3279c161
S0013,train,,train_features/S0013.csv,af30571b4bb86ccb21b93c20876fa8ec
S0014,train,1,train_features/S0014.csv,30aedb175ec24556286f87b8f5162cec
S0015,train,,train_features/S0015.csv,dcaca45ab09f3a329f36907c8b79f804
S0016,train,,train_features/S0016.csv,42465620a09a8d5913529562c2a8bb6a
S0017,train,1,train_features/S0017.csv,377ca7aad3626f1f87735855adc6eec4
S0018,train,1,train_features/S0018.csv,5e1cd382b234698ee9e695334620418b
S0019,train,1,train_features/S0019.csv,8394549e0cd7e05a766957b27053909d
S0020,train,1,train_features/S0020.csv,85cf651b05f1047d53dfe4c6c0545294
S0021,train,,train_features/S0021.csv,99cefa85e0df70746214477d8464a7d9
S0022,train,,train_features/S0022.csv,dc0a8f3766c3860d945a4fbe962670d8
S0023,train,,train_features/S0023.csv,d33e34a9a96c42a19a7a81c3fdafad48
S0024,train,,train_features/S0024.csv,4fbad0c07d880764cea7fd3687d9e761
S0025,train,,train_features/S0025.csv,d516a5e4256c4f9585d75fa0fee9e2ae
S0026,train,1,train_features/S0026.csv,3d9959b844bf6a852083b1ea17f35018
S0027,train,1,train_features/S0027.csv,d78fef0b74f5f045b3d441c68aa0890f
S0028,train,1,train_features/S0028.csv,466d42f3bbb0c8352503fc5c62f972a8
S0029,train,,train_features/S0029.csv,b983e7298f634a47e739e702c08019f0
S0030,train,,train_features/S0030.csv,a59e89cbbe603c9486cb5eafadec3224
S0031,train,,train_features/S0031.csv,2903249ca20e257ffe6375440f44a125
S0032,train,,train_features/S0032.csv,b14fcbf8012c2320a2ec5afc536fbfd9
