sample_id,aromatic,hydrocarbon,carboxylic_acid,nitrogen_bearing_compound,chlorine_bearing_compound,sulfur_bearing_compound,alcohol,other_oxygen_bearing_compound,mineral
S0000,0,0,0,0,0,0,0,0,1
S0001,0,0,0,0,0,0,0,0,0
S0002,0,0,1,1,0,0,0,0,1
S0003,0,1,0,0,0,0,0,0,0
S0004,0,0,0,0,1,0,0,0,1
S0005,0,0,0,0,0,0,0,0,0
S0006,0,1,0,0,0,0,0,0,0
S0007,0,0,0,0,0,0,0,0,0
S0008,0,0,1,1,0,0,0,0,0
S0009,1,0,1,1,0,1,1,0,0
S0010,0,1,0,0,0,0,0,0,0
S0011,0,0,1,0,0,0,0,0,1
S0012,0,0,0,0,0,0,0,0,1
S0013,0,0,0,0,0,0,0,0,1
S0014,0,0,0,0,0,0,0,0,0
S0015,0,0,0,0,0,0,0,0,0
S0016,1,0,0,0,0,0,0,0,1
S0017,0,0,1,0,0,0,0,0,0
S0018,0,0,0,0,0,0,0,0,1
S0019,1,0,1,1,0,0,0,0,0
S0020,0,0,1,1,0,0,0,0,1
S0021,0,1,0,0,0,0,0,0,0
S0022,0,1,0,0,0,0,0,0,0
S0023,0,0,0,0,0,0,0,0,0
S0024,0,0,1,0,0,0,0,0,0
S0025,0,0,0,0,0,0,0,0,0
S0026,0,0,0,1,0,0,0,0,0
S0027,1,0,1,1,0,0,0,0,1
S0028,0,0,1,0,0,0,0,0,0
S0029,0,1,0,0,0,0,0,0,0
S0030,0,1,0,0,0,0,0,0,0
S0031,0,0,0,0,0,0,0,0,0
S0032,0,0,0,0,0,0,0,0,0
S0033,1,1,0,0,0,1,0,0,0
S0034,0,0,0,0,0,0,0,0,0
S0035,1,0,1,1,0,0,0,0,0
S0036,0,0,1,0,0,0,0,0,0
S0037,0,0,1,1,0,0,0,0,0
S0038,0,0,0,0,0,0,0,0,1
S0039,0,0,0,0,0,0,0,0,0
S0040,0,1,0,0,0,0,0,0,0
S0041,0,1,0,0,0,0,0,0,0
S0042,0,0,0,0,0,0,0,0,0
S0043,0,0,0,1,0,0,0,0,0
S0044,0,0,0,0,0,0,0,0,1
S0045,0,0,0,0,0,0,0,0,0
S0046,0,0,0,0,0,0,0,0,0
S0047,0,1,0,0,0,0,0,0,0
S0048,1,0,0,0,0,0,0,0,0
S0049,0,1,0,0,0,0,0,0,0
S0050,0,0,0,0,0,0,0,0,0
S0051,0,1,0,0,0,0,0,0,0
S0052,0,1,0,0,0,0,0,0,0
S0053,0,1,0,0,0,0,0,0,0
S0054,0,0,0,0,0,0,0,0,0
S0055,0,0,0,0,0,0,0,0,0
S0056,1,0,1,0,0,0,0,0,0
S0057,0,0,0,0,0,0,0,0,0
S0058,0,1,0,0,0,0,0,0,0
S0059,0,0,0,0,0,0,0,0,1
S0060,0,0,0,0,0,0,0,0,0
S0061,0,0,1,0,0,0,0,0,0
S0062,0,0,0,0,0,0,0,0,0
S0063,0,1,0,0,0,0,0,0,0
S0064,0,0,0,0,0,0,0,1,0
S0065,0,0,0,0,0,0,0,0,1
S0066,0,0,0,0,0,0,0,0,0
S0067,0,0,0,0,0,0,0,0,0
S0068,0,1,0,0,0,0,0,0,0
S0069,0,0,0,0,0,0,0,0,0
S0070,1,1,1,1,1,1,1,1,0
S0071,0,0,0,0,0,0,0,0,0
S0072,0,0,0,0,0,0,0,0,1
S0073,1,1,1,1,1,1,1,1,0
S0074,0,0,0,0,0,0,0,0,0
S0075,0,0,0,0,0,0,0,0,0
S0076,0,0,0,0,0,0,0,0,1
S0077,0,0,0,1,0,0,0,0,0
S0078,0,1,0,0,0,0,0,0,0
S0079,0,0,0,0,0,0,0,0,0
S0080,0,1,0,0,0,0,0,0,0
S0081,0,1,0,0,0,0,0,0,0
S0082,0,0,0,0,0,0,0,0,0
S0083,0,0,0,0,0,0,0,1,0
S0084,0,0,0,0,0,0,0,0,0
S0085,1,0,1,1,0,0,0,0,0
S0086,0,0,0,0,0,0,0,0,0
S0087,0,0,0,0,0,0,0,0,0
S0088,0,1,0,0,0,0,0,0,0
S0089,0,1,0,0,0,0,0,0,0
S0090,0,0,0,0,0,0,0,0,0
S0091,1,0,0,0,0,0,0,0,1
S0092,0,1,0,0,0,0,0,0,0
S0093,0,1,0,0,0,0,0,0,0
S0094,0,1,0,0,0,0,0,0,0
S0095,0,0,0,0,0,0,0,0,0
S0096,0,1,0,0,0,0,0,0,0
S0097,0,1,0,0,0,0,0,0,0
S0098,0,1,0,0,0,0,0,0,0
S0099,1,0,1,1,0,0,0,0,0
S0100,0,1,0,0,0,0,0,0,0
S0101,0,0,0,0,0,0,0,0,0
S0102,0,0,1,1,0,0,0,0,0
S0103,0,0,0,0,0,0,0,0,0
S0104,0,0,0,0,0,0,0,0,0
S0105,0,0,0,0,0,0,0,0,1
S0106,0,0,0,0,0,0,0,0,1
S0107,0,0,0,0,0,0,0,0,1
S0108,0,1,0,0,0,0,0,0,0
S0109,0,1,0,0,0,0,0,0,0
S0110,0,0,0,0,0,0,0,0,0
S0111,0,1,0,0,0,0,0,0,0
S0112,0,0,0,0,0,0,0,0,0
S0113,0,0,0,0,0,0,0,0,0
S0114,0,1,0,0,0,0,0,0,0
S0115,0,1,0,0,0,0,0,0,0
S0116,1,0,0,0,0,0,0,0,1
